"id_invoice","id_distributor","id_cabang","cabang_sales","tanggal","id_customer","nama","id_barang","nama_barang","kemasan","jumlah_barang","harga","kode_lini","lini","brand_id","id_group","group"
IN6064,TD,CAB04,Aceh,"2022-01-28",CUST55515,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,10,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6308,TD,CAB05,Kuningan,"2022-01-23",CUST55516,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,BOTOL,67,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6038,TA,CAB06,Jakarta,"2022-01-30",CUST55517,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,98,3991.9,"204",MARCKS,BRND008,Z31,Klinik
IN6130,EPM,CAB07,Bandung,"2022-01-31",CUST55518,APOTEK MERDEKA,BRG0009,AMBROXOL HC,BOTOL,5,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6293,TD,CAB08,Tangerang,"2022-01-02",CUST55519,KLINIK SAHABAT,BRG0010,PARACETAMOL,BOTOL,4,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6205,TA,CAB09,Bekasi,"2022-01-27",CUST55520,APOTEK SINAR JAYA,BRG0001,ACYCLOVIR DUS,DUS,8,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6325,EPM,CAB10,Padang,"2022-01-28",CUST55521,APOTEK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,9,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6317,TD,CAB01,Aceh,"2022-01-23",CUST55522,APOTEK TAPAK,BRG0003,AMPICILLIN,BOTOL,10,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6025,TA,CAB01,Kuningan,"2022-01-30",CUST55523,APOTEK MAJA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,7,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6203,EPM,CAB02,Jakarta,"2022-01-31",CUST55524,KLINIK GM,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,100,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6243,TD,CAB03,Bandung,"2022-01-02",CUST55525,APOTEK MERDEKA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,67,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6136,TD,CAB01,Tangerang,"2022-01-27",CUST55526,KLINIK SAHABAT,BRG0001,ACYCLOVIR DUS,DUS,78,4592.1,"206",ETIKAL,BRND007,Z31,Klinik
IN6314,TA,CAB01,Bekasi,"2022-01-28",CUST55527,APOTEK SINAR JAYA,BRG0002,ALERGINE TABLET SALUT,DUS,45,3991.9,"203",MARCKS,BRND008,Z32,Apotek
IN6202,EPM,CAB02,Padang,"2022-01-23",CUST55528,APOTEK SAHABAT,BRG0003,AMPICILLIN,BOTOL,34,5780.7,"210",VNS,BRND009,Z32,Apotek
IN6279,TD,CAB03,Lampung,"2022-01-30",CUST55529,KLINIK DR. ANDRI,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,20,6940.3,"201",SLCYL,BRND010,Z31,Klinik
IN6196,TA,CAB04,Aceh,"2022-01-31",CUST55530,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,DUS,45,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6266,EPM,CAB05,Kuningan,"2022-01-02",CUST55531,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,DUS,34,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6058,TD,CAB06,Jakarta,"2022-01-27",CUST55532,KLINIK GM,BRG0003,AMPICILLIN,BOTOL,34,10690.6,"210",MARCKS,BRND003,Z31,Klinik
IN6246,TA,CAB07,Bandung,"2022-01-28",CUST55533,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,34,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6242,EPM,CAB08,Tangerang,"2022-01-23",CUST55534,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,44,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN5982,TD,CAB09,Bekasi,"2022-01-30",CUST55535,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,5,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6068,TD,CAB10,Padang,"2022-01-31",CUST55536,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,BOTOL,6,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6128,TA,CAB01,Aceh,"2022-01-02",CUST55537,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,79,3991.9,"204",MARCKS,BRND008,Z32,Apotek
IN6066,EPM,CAB01,Kuningan,"2022-01-27",CUST55538,APOTEK MAJA,BRG0009,AMBROXOL HC,BOTOL,12,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6303,TD,CAB02,Jakarta,"2022-01-28",CUST55539,KLINIK GM,BRG0010,PARACETAMOL,BOTOL,95,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6284,TA,CAB03,Bandung,"2022-01-23",CUST55540,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,DUS,76,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6240,EPM,CAB01,Tangerang,"2022-01-30",CUST55541,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,48,2337.5,"203",ETIKAL,BRND002,Z31,Klinik
IN6244,TD,CAB01,Bekasi,"2022-01-31",CUST55542,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,BOTOL,21,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6060,TD,CAB02,Padang,"2022-01-02",CUST55543,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,22,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6254,TA,CAB03,Lampung,"2022-02-02",CUST55544,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,12,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6171,EPM,CAB04,Aceh,"2022-03-02",CUST55545,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,25,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6002,TD,CAB05,Kuningan,"2022-04-02",CUST55546,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,BOTOL,14,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6261,TA,CAB06,Jakarta,"2022-05-02",CUST55547,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,24,3991.9,"204",MARCKS,BRND008,Z31,Klinik
IN6088,EPM,CAB07,Bandung,"2022-06-02",CUST55548,APOTEK MERDEKA,BRG0009,AMBROXOL HC,BOTOL,10,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6181,TD,CAB08,Tangerang,"2022-07-02",CUST55549,KLINIK SAHABAT,BRG0010,PARACETAMOL,BOTOL,130,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6135,TA,CAB09,Bekasi,"2022-08-02",CUST55550,APOTEK SINAR JAYA,BRG0001,ACYCLOVIR DUS,DUS,12,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN5988,EPM,CAB10,Padang,"2022-09-02",CUST55551,APOTEK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,10,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6234,TD,CAB01,Aceh,"2022-10-02",CUST55552,APOTEK TAPAK,BRG0003,AMPICILLIN,BOTOL,67,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6319,TD,CAB01,Kuningan,"2022-11-02",CUST55553,APOTEK MAJA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,98,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6006,TA,CAB02,Jakarta,"2022-12-02",CUST55554,KLINIK GM,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,5,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6147,EPM,CAB03,Bandung,"2022-02-13",CUST55555,APOTEK MERDEKA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,4,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6129,TD,CAB01,Tangerang,"2022-02-14",CUST55556,KLINIK SAHABAT,BRG0001,ACYCLOVIR DUS,DUS,8,4592.1,"206",ETIKAL,BRND007,Z31,Klinik
IN5986,TA,CAB01,Bekasi,"2022-02-15",CUST55557,APOTEK SINAR JAYA,BRG0002,ALERGINE TABLET SALUT,DUS,9,3991.9,"203",MARCKS,BRND008,Z32,Apotek
IN6026,EPM,CAB02,Padang,"2022-02-16",CUST55558,APOTEK SAHABAT,BRG0003,AMPICILLIN,BOTOL,21,5780.7,"210",VNS,BRND009,Z32,Apotek
IN6224,TD,CAB03,Lampung,"2022-02-17",CUST55559,KLINIK DR. ANDRI,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,22,6940.3,"201",SLCYL,BRND010,Z31,Klinik
IN6087,TA,CAB04,Aceh,"2022-02-18",CUST55560,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,DUS,12,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6096,EPM,CAB05,Kuningan,"2022-02-19",CUST55561,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,DUS,25,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6034,TD,CAB06,Jakarta,"2022-02-20",CUST55562,KLINIK GM,BRG0003,AMPICILLIN,BOTOL,14,10690.6,"210",MARCKS,BRND003,Z31,Klinik
IN6231,TD,CAB07,Bandung,"2022-02-21",CUST55563,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,24,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6260,TA,CAB08,Tangerang,"2022-02-22",CUST55564,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,10,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6302,EPM,CAB09,Bekasi,"2022-02-23",CUST55565,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,120,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6061,TD,CAB10,Padang,"2022-02-24",CUST55566,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,BOTOL,12,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6011,TA,CAB01,Aceh,"2022-02-25",CUST55567,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,10,3991.9,"204",MARCKS,BRND008,Z32,Apotek
IN6275,EPM,CAB01,Kuningan,"2022-02-26",CUST55568,APOTEK MAJA,BRG0009,AMBROXOL HC,BOTOL,67,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6114,TD,CAB02,Jakarta,"2022-02-27",CUST55569,KLINIK GM,BRG0010,PARACETAMOL,BOTOL,98,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6041,TD,CAB03,Bandung,"2022-02-28",CUST55570,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,DUS,5,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6069,TA,CAB01,Tangerang,"2022-01-03",CUST55571,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,4,2337.5,"203",ETIKAL,BRND002,Z31,Klinik
IN6239,EPM,CAB01,Bekasi,"2022-02-03",CUST55572,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,BOTOL,8,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6137,TD,CAB02,Padang,"2022-03-03",CUST55573,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,9,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6189,TA,CAB03,Lampung,"2022-04-03",CUST55574,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,1,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6229,EPM,CAB04,Aceh,"2022-05-03",CUST55575,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,5,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6110,TD,CAB05,Kuningan,"2022-06-03",CUST55576,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,BOTOL,9,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6182,TA,CAB06,Jakarta,"2022-07-03",CUST55577,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,13,3991.9,"204",MARCKS,BRND008,Z31,Klinik
IN6164,EPM,CAB07,Bandung,"2022-08-03",CUST55578,APOTEK MERDEKA,BRG0009,AMBROXOL HC,BOTOL,1,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6016,TD,CAB08,Tangerang,"2022-09-03",CUST55579,KLINIK SAHABAT,BRG0010,PARACETAMOL,BOTOL,5,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6043,TD,CAB09,Bekasi,"2022-10-03",CUST55580,APOTEK SINAR JAYA,BRG0001,ACYCLOVIR DUS,DUS,9,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6020,TA,CAB10,Padang,"2022-11-03",CUST55581,APOTEK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,1,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6206,EPM,CAB01,Aceh,"2022-12-03",CUST55582,APOTEK TAPAK,BRG0003,AMPICILLIN,BOTOL,23,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6055,TD,CAB01,Kuningan,"2022-03-13",CUST55583,APOTEK MAJA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,4,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6092,TA,CAB02,Jakarta,"2022-03-14",CUST55584,KLINIK GM,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,2,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6177,EPM,CAB03,Bandung,"2022-03-15",CUST55585,APOTEK MERDEKA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,17,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6209,TD,CAB01,Tangerang,"2022-03-16",CUST55586,KLINIK SAHABAT,BRG0001,ACYCLOVIR DUS,DUS,11,4592.1,"206",ETIKAL,BRND007,Z31,Klinik
IN6250,TA,CAB01,Bekasi,"2022-03-17",CUST55587,APOTEK SINAR JAYA,BRG0002,ALERGINE TABLET SALUT,DUS,12,3991.9,"203",MARCKS,BRND008,Z32,Apotek
IN6193,EPM,CAB02,Padang,"2022-03-18",CUST55588,APOTEK SAHABAT,BRG0003,AMPICILLIN,BOTOL,12,5780.7,"210",VNS,BRND009,Z32,Apotek
IN6081,TD,CAB03,Lampung,"2022-03-19",CUST55589,KLINIK DR. ANDRI,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,25,6940.3,"201",SLCYL,BRND010,Z31,Klinik
IN6149,TD,CAB04,Aceh,"2022-03-20",CUST55590,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,DUS,14,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6014,TA,CAB05,Kuningan,"2022-03-21",CUST55591,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,DUS,34,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6290,EPM,CAB06,Jakarta,"2022-03-22",CUST55592,KLINIK GM,BRG0003,AMPICILLIN,BOTOL,67,10690.6,"210",MARCKS,BRND003,Z31,Klinik
IN6051,TD,CAB07,Bandung,"2022-03-23",CUST55593,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,15,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6076,TA,CAB08,Tangerang,"2022-03-24",CUST55594,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,12,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6140,EPM,CAB09,Bekasi,"2022-03-25",CUST55595,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,25,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6080,TD,CAB10,Padang,"2022-03-26",CUST55596,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,BOTOL,14,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6153,TD,CAB01,Aceh,"2022-03-27",CUST55597,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,18,3991.9,"204",MARCKS,BRND008,Z32,Apotek
IN5979,TA,CAB01,Kuningan,"2022-03-28",CUST55598,APOTEK MAJA,BRG0009,AMBROXOL HC,BOTOL,18,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6098,EPM,CAB02,Jakarta,"2022-03-29",CUST55599,KLINIK GM,BRG0010,PARACETAMOL,BOTOL,19,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6078,TD,CAB03,Bandung,"2022-03-30",CUST55600,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,DUS,12,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6085,TA,CAB01,Tangerang,"2022-03-31",CUST55601,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,25,2337.5,"203",ETIKAL,BRND002,Z31,Klinik
IN6018,EPM,CAB01,Bekasi,"2022-01-04",CUST55602,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,BOTOL,14,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6001,TD,CAB02,Padang,"2022-02-04",CUST55603,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,21,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6271,TA,CAB03,Lampung,"2022-03-04",CUST55604,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,22,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6207,EPM,CAB04,Aceh,"2022-04-04",CUST55605,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,12,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6187,TD,CAB05,Kuningan,"2022-05-04",CUST55606,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,BOTOL,25,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN5995,TD,CAB06,Jakarta,"2022-06-04",CUST55607,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,14,3991.9,"204",MARCKS,BRND008,Z31,Klinik
IN6156,TA,CAB07,Bandung,"2022-07-04",CUST55608,APOTEK MERDEKA,BRG0009,AMBROXOL HC,BOTOL,24,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6232,EPM,CAB08,Tangerang,"2022-08-04",CUST55609,KLINIK SAHABAT,BRG0010,PARACETAMOL,BOTOL,10,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN5998,TD,CAB09,Bekasi,"2022-09-04",CUST55610,APOTEK SINAR JAYA,BRG0001,ACYCLOVIR DUS,DUS,23,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6227,TA,CAB10,Padang,"2022-10-04",CUST55611,APOTEK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,12,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6027,EPM,CAB01,Aceh,"2022-11-04",CUST55612,APOTEK TAPAK,BRG0003,AMPICILLIN,BOTOL,10,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6157,TD,CAB01,Kuningan,"2022-12-04",CUST55613,APOTEK MAJA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,67,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6180,TA,CAB02,Jakarta,"2022-04-13",CUST55614,KLINIK GM,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,98,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6257,EPM,CAB03,Bandung,"2022-04-14",CUST55615,APOTEK MERDEKA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,5,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6031,TD,CAB01,Tangerang,"2022-04-15",CUST55616,KLINIK SAHABAT,BRG0001,ACYCLOVIR DUS,DUS,4,4592.1,"206",ETIKAL,BRND007,Z31,Klinik
IN6082,TD,CAB01,Bekasi,"2022-04-16",CUST55617,APOTEK SINAR JAYA,BRG0002,ALERGINE TABLET SALUT,DUS,8,3991.9,"203",MARCKS,BRND008,Z32,Apotek
IN6174,TA,CAB02,Padang,"2022-04-17",CUST55618,APOTEK SAHABAT,BRG0003,AMPICILLIN,BOTOL,9,5780.7,"210",VNS,BRND009,Z32,Apotek
IN6237,EPM,CAB03,Lampung,"2022-04-18",CUST55619,KLINIK DR. ANDRI,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,10,6940.3,"201",SLCYL,BRND010,Z31,Klinik
IN6021,TD,CAB04,Aceh,"2022-04-19",CUST55620,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,DUS,7,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6056,TA,CAB05,Kuningan,"2022-04-20",CUST55621,APOTEK MAJA,BRG0002,ALERGINE TABLET SALUT,DUS,100,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN5983,EPM,CAB06,Jakarta,"2022-04-21",CUST55622,KLINIK GM,BRG0003,AMPICILLIN,BOTOL,67,10690.6,"210",MARCKS,BRND003,Z31,Klinik
IN6139,TD,CAB07,Bandung,"2022-04-22",CUST55623,APOTEK MERDEKA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,78,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6126,TD,CAB08,Tangerang,"2022-04-23",CUST55624,KLINIK SAHABAT,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,45,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6127,TA,CAB09,Bekasi,"2022-04-24",CUST55625,APOTEK SINAR JAYA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,34,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6035,EPM,CAB10,Padang,"2022-04-25",CUST55626,APOTEK SAHABAT,BRG0007,ERGOTAMINE COFFEINE,BOTOL,20,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6309,TD,CAB01,Aceh,"2022-04-26",CUST55627,APOTEK TAPAK,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,45,3991.9,"204",MARCKS,BRND008,Z32,Apotek
IN6073,TA,CAB01,Kuningan,"2022-04-27",CUST55628,APOTEK MAJA,BRG0009,AMBROXOL HC,BOTOL,34,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6277,EPM,CAB02,Jakarta,"2022-04-28",CUST55629,KLINIK GM,BRG0010,PARACETAMOL,BOTOL,34,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN6197,TD,CAB03,Bandung,"2022-04-29",CUST55630,APOTEK MERDEKA,BRG0001,ACYCLOVIR DUS,DUS,34,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6225,TA,CAB01,Tangerang,"2022-04-30",CUST55631,KLINIK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,44,2337.5,"203",ETIKAL,BRND002,Z31,Klinik
IN5999,EPM,CAB01,Bekasi,"2022-01-05",CUST55632,APOTEK SINAR JAYA,BRG0003,AMPICILLIN,BOTOL,5,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6223,TD,CAB02,Padang,"2022-02-05",CUST55633,APOTEK SAHABAT,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,6,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6273,TD,CAB03,Lampung,"2022-03-05",CUST55634,KLINIK DR. ANDRI,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,79,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6047,TA,CAB04,Aceh,"2022-04-26",CUST55635,APOTEK TAPAK,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,12,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6071,EPM,CAB05,Kuningan,"2022-04-27",CUST55636,APOTEK MAJA,BRG0007,ERGOTAMINE COFFEINE,BOTOL,95,4592.1,"206",ETIKAL,BRND007,Z32,Apotek
IN6009,TD,CAB06,Jakarta,"2022-04-28",CUST55637,KLINIK GM,BRG0008,TETRACYCLINE KAPSUL 250 MG,KAPSUL,76,3991.9,"204",MARCKS,BRND008,Z31,Klinik
IN6075,TA,CAB07,Bandung,"2022-04-16",CUST55638,APOTEK MERDEKA,BRG0009,AMBROXOL HC,BOTOL,48,5780.7,"207",VNS,BRND009,Z32,Apotek
IN6218,EPM,CAB08,Tangerang,"2022-04-17",CUST55639,KLINIK SAHABAT,BRG0010,PARACETAMOL,BOTOL,21,6940.3,"208",SLCYL,BRND010,Z31,Klinik
IN5985,TD,CAB09,Bekasi,"2022-04-18",CUST55640,APOTEK SINAR JAYA,BRG0001,ACYCLOVIR DUS,DUS,22,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
IN6154,TA,CAB10,Padang,"2022-04-19",CUST55641,APOTEK SAHABAT,BRG0002,ALERGINE TABLET SALUT,DUS,12,2337.5,"203",ETIKAL,BRND002,Z32,Apotek
IN6145,EPM,CAB01,Aceh,"2022-04-20",CUST55642,APOTEK TAPAK,BRG0003,AMPICILLIN,BOTOL,25,10690.6,"210",MARCKS,BRND003,Z32,Apotek
IN6315,TD,CAB01,Kuningan,"2022-04-21",CUST55643,APOTEK MAJA,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,14,8700.7,"201",VNS,BRND004,Z32,Apotek
IN6168,TD,CAB02,Jakarta,"2022-05-13",CUST55644,KLINIK GM,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,24,5648.3,"203",SLCYL,BRND005,Z31,Klinik
IN6192,TA,CAB03,Bandung,"2022-05-14",CUST55645,APOTEK MERDEKA,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,10,2819.2,"205",OGB & PH,BRND006,Z32,Apotek
IN6285,EPM,CAB01,Tangerang,"2022-05-15",CUST55646,KLINIK SAHABAT,BRG0001,ACYCLOVIR DUS,DUS,130,4592.1,"206",ETIKAL,BRND007,Z31,Klinik
IN6077,TD,CAB01,Bekasi,"2022-05-16",CUST55647,APOTEK SINAR JAYA,BRG0002,ALERGINE TABLET SALUT,DUS,12,3991.9,"203",MARCKS,BRND008,Z32,Apotek
IN6057,TA,CAB02,Padang,"2022-05-17",CUST55648,APOTEK SAHABAT,BRG0003,AMPICILLIN,BOTOL,10,5780.7,"210",VNS,BRND009,Z32,Apotek
IN6252,EPM,CAB03,Lampung,"2022-05-18",CUST55649,KLINIK DR. ANDRI,BRG0004,TRAMADOL KAPSUL 50 MG,KAPSUL,67,6940.3,"201",SLCYL,BRND010,Z31,Klinik
IN6272,TD,CAB04,Aceh,"2022-05-19",CUST55650,APOTEK TAPAK,BRG0001,ACYCLOVIR DUS,DUS,98,1169.91,"206",OGB & PH,BRND001,Z32,Apotek
